investor_id,total_sips,avg_gap_days,max_gap_days,status
INV000222,4,39.666666666666664,59.0,Irregular
INV000223,5,114.75,172.0,High Risk / Stopped
INV000224,4,74.66666666666667,138.0,High Risk / Stopped
INV000225,4,125.33333333333333,175.0,High Risk / Stopped
INV000226,4,84.33333333333333,100.0,High Risk / Stopped
INV000227,3,108.0,182.0,High Risk / Stopped
INV000228,9,59.75,188.0,Irregular
INV000229,5,67.75,102.0,High Risk / Stopped
INV000230,5,60.75,112.0,High Risk / Stopped
INV000231,5,47.0,87.0,Irregular
INV000232,1,,,Irregular
INV000233,1,,,Irregular
INV000234,5,121.75,340.0,High Risk / Stopped
INV000235,4,74.33333333333333,140.0,High Risk / Stopped
INV000236,8,67.14285714285714,112.0,High Risk / Stopped
INV000237,1,,,Irregular
INV000238,6,93.6,287.0,High Risk / Stopped
INV000239,8,48.857142857142854,105.0,Irregular
INV000240,1,,,Irregular
INV000241,3,110.5,144.0,High Risk / Stopped
INV000242,3,62.5,119.0,High Risk / Stopped
INV000243,6,88.2,137.0,High Risk / Stopped
INV000244,4,23.333333333333332,38.0,Irregular
INV000245,6,92.2,164.0,High Risk / Stopped
INV000246,4,92.33333333333333,117.0,High Risk / Stopped
INV000248,1,,,Irregular
INV000249,7,45.5,162.0,Irregular
INV000251,2,223.0,223.0,High Risk / Stopped
INV000252,6,50.4,96.0,Irregular
INV000253,1,,,Irregular
INV000254,2,249.0,249.0,High Risk / Stopped
INV000255,6,48.6,103.0,Irregular
INV000256,6,70.2,155.0,High Risk / Stopped
INV000257,5,93.25,197.0,High Risk / Stopped
INV000258,1,,,Irregular
INV000259,6,70.6,165.0,High Risk / Stopped
INV000260,8,59.57142857142857,206.0,Irregular
INV000261,4,131.33333333333334,234.0,High Risk / Stopped
INV000262,8,53.57142857142857,122.0,Irregular
INV000263,8,68.42857142857143,271.0,High Risk / Stopped
INV000264,1,,,Irregular
INV000265,10,53.44444444444444,140.0,Irregular
INV000266,4,101.0,109.0,High Risk / Stopped
INV000267,5,86.75,200.0,High Risk / Stopped
INV000268,7,62.333333333333336,143.0,High Risk / Stopped
INV000269,2,180.0,180.0,High Risk / Stopped
INV000270,2,130.0,130.0,High Risk / Stopped
INV000271,2,342.0,342.0,High Risk / Stopped
INV000272,4,96.33333333333333,228.0,High Risk / Stopped
INV000273,1,,,Irregular
INV000274,5,100.75,175.0,High Risk / Stopped
INV000275,2,17.0,17.0,Irregular
INV000276,4,80.0,187.0,High Risk / Stopped
INV000277,1,,,Irregular
INV000278,2,354.0,354.0,High Risk / Stopped
INV000279,9,43.375,133.0,Irregular
INV000280,9,55.75,191.0,Irregular
INV000281,1,,,Irregular
INV000282,2,53.0,53.0,Irregular
INV000283,6,68.0,195.0,High Risk / Stopped
INV000284,4,58.0,162.0,Irregular
INV000285,2,140.0,140.0,High Risk / Stopped
INV000286,5,115.0,215.0,High Risk / Stopped
INV000287,7,69.83333333333333,301.0,High Risk / Stopped
INV000288,5,114.25,218.0,High Risk / Stopped
INV000289,8,62.714285714285715,142.0,High Risk / Stopped
INV000290,1,,,Irregular
INV000291,6,89.0,196.0,High Risk / Stopped
INV000292,7,46.0,95.0,Irregular
INV000293,7,47.0,91.0,Irregular
INV000294,5,54.5,164.0,Irregular
INV000295,2,8.0,8.0,Irregular
INV000296,2,158.0,158.0,High Risk / Stopped
INV000297,6,90.6,163.0,High Risk / Stopped
INV000298,5,92.5,122.0,High Risk / Stopped
INV000299,6,85.2,240.0,High Risk / Stopped
INV000300,3,76.5,131.0,High Risk / Stopped
INV000301,5,68.5,111.0,High Risk / Stopped
INV000302,1,,,Irregular
INV000303,3,209.0,280.0,High Risk / Stopped
INV000304,7,70.0,204.0,High Risk / Stopped
INV000305,4,55.0,110.0,Irregular
INV000306,3,76.0,115.0,High Risk / Stopped
INV000307,2,162.0,162.0,High Risk / Stopped
INV000308,5,117.0,212.0,High Risk / Stopped
INV000309,8,52.0,157.0,Irregular
INV000310,7,75.83333333333333,164.0,High Risk / Stopped
INV000311,3,152.0,287.0,High Risk / Stopped
INV000312,5,119.75,203.0,High Risk / Stopped
INV000313,2,310.0,310.0,High Risk / Stopped
INV000314,4,69.0,171.0,High Risk / Stopped
INV000315,4,75.66666666666667,183.0,High Risk / Stopped
INV000316,5,86.75,184.0,High Risk / Stopped
INV000317,4,146.33333333333334,250.0,High Risk / Stopped
INV000318,6,97.4,175.0,High Risk / Stopped
INV000319,7,73.5,201.0,High Risk / Stopped
INV000320,5,70.0,119.0,High Risk / Stopped
INV000321,7,72.83333333333333,204.0,High Risk / Stopped
INV000322,3,121.0,206.0,High Risk / Stopped
INV000323,3,67.0,111.0,High Risk / Stopped
INV000325,2,227.0,227.0,High Risk / Stopped
INV000326,3,154.5,220.0,High Risk / Stopped
INV000327,2,50.0,50.0,Irregular
INV000328,9,37.5,73.0,Irregular
INV000329,4,88.66666666666667,163.0,High Risk / Stopped
INV000330,4,137.0,196.0,High Risk / Stopped
INV000331,8,50.714285714285715,163.0,Irregular
INV000332,4,27.333333333333332,64.0,Irregular
INV000333,4,150.33333333333334,379.0,High Risk / Stopped
INV000334,7,25.5,60.0,Consistent
INV000335,6,96.0,279.0,High Risk / Stopped
INV000336,2,150.0,150.0,High Risk / Stopped
INV000337,5,103.5,297.0,High Risk / Stopped
INV000338,1,,,Irregular
INV000339,6,94.0,195.0,High Risk / Stopped
INV000340,5,32.0,60.0,Irregular
INV000341,8,54.42857142857143,191.0,Irregular
INV000342,1,,,Irregular
INV000343,2,248.0,248.0,High Risk / Stopped
INV000344,5,30.5,55.0,Irregular
INV000345,1,,,Irregular
INV000346,1,,,Irregular
INV000347,1,,,Irregular
INV000348,2,284.0,284.0,High Risk / Stopped
INV000349,4,106.33333333333333,156.0,High Risk / Stopped
INV000350,2,85.0,85.0,High Risk / Stopped
INV000351,5,86.5,158.0,High Risk / Stopped
INV000352,5,80.75,225.0,High Risk / Stopped
INV000353,1,,,Irregular
INV000354,3,234.5,262.0,High Risk / Stopped
INV000355,1,,,Irregular
INV000356,6,54.4,157.0,Irregular
INV000357,3,85.5,88.0,High Risk / Stopped
INV000358,1,,,Irregular
INV000359,9,54.125,197.0,Irregular
INV000360,5,122.0,184.0,High Risk / Stopped
INV000361,3,98.0,108.0,High Risk / Stopped
INV000363,7,77.0,153.0,High Risk / Stopped
INV000364,3,94.5,142.0,High Risk / Stopped
INV000366,4,82.0,234.0,High Risk / Stopped
INV000367,4,56.333333333333336,116.0,Irregular
INV000368,1,,,Irregular
INV000369,6,43.8,112.0,Irregular
INV000370,5,116.75,257.0,High Risk / Stopped
INV000371,8,59.285714285714285,147.0,Irregular
INV000372,7,54.5,121.0,Irregular
INV000373,2,48.0,48.0,Irregular
INV000374,4,127.66666666666667,246.0,High Risk / Stopped
INV000376,1,,,Irregular
INV000377,5,75.25,202.0,High Risk / Stopped
INV000378,3,117.5,196.0,High Risk / Stopped
INV000379,3,44.0,74.0,Irregular
INV000380,6,97.0,272.0,High Risk / Stopped
INV000381,1,,,Irregular
INV000382,1,,,Irregular
INV000383,5,107.25,203.0,High Risk / Stopped
INV000384,5,78.25,133.0,High Risk / Stopped
INV000385,4,92.66666666666667,147.0,High Risk / Stopped
INV000386,1,,,Irregular
INV000387,3,103.0,161.0,High Risk / Stopped
INV000388,9,53.625,119.0,Irregular
INV000389,3,127.5,209.0,High Risk / Stopped
INV000390,3,135.5,211.0,High Risk / Stopped
INV000391,1,,,Irregular
INV000392,7,77.16666666666667,205.0,High Risk / Stopped
INV000393,2,43.0,43.0,Irregular
INV000394,5,90.0,242.0,High Risk / Stopped
INV000395,7,55.666666666666664,119.0,Irregular
INV000396,6,83.2,153.0,High Risk / Stopped
INV000397,4,128.0,205.0,High Risk / Stopped
INV000399,10,49.55555555555556,68.0,Irregular
INV000400,6,62.6,101.0,High Risk / Stopped
INV000401,4,21.333333333333332,32.0,Irregular
INV000402,4,94.0,172.0,High Risk / Stopped
INV000403,6,58.2,90.0,Irregular
INV000404,1,,,Irregular
INV000405,2,65.0,65.0,High Risk / Stopped
INV000406,1,,,Irregular
INV000407,6,82.4,157.0,High Risk / Stopped
INV000408,6,46.8,125.0,Irregular
INV000409,2,375.0,375.0,High Risk / Stopped
INV000410,5,92.25,198.0,High Risk / Stopped
INV000411,4,67.0,101.0,High Risk / Stopped
INV000412,8,43.714285714285715,70.0,Irregular
INV000413,5,102.5,317.0,High Risk / Stopped
INV000414,8,66.28571428571429,233.0,High Risk / Stopped
INV000415,7,66.16666666666667,128.0,High Risk / Stopped
INV000416,2,119.0,119.0,High Risk / Stopped
INV000417,4,104.33333333333333,268.0,High Risk / Stopped
INV000418,6,86.8,238.0,High Risk / Stopped
INV000419,3,112.0,201.0,High Risk / Stopped
INV000420,1,,,Irregular
INV000421,4,91.66666666666667,202.0,High Risk / Stopped
INV000422,1,,,Irregular
INV000423,3,187.5,265.0,High Risk / Stopped
INV000424,1,,,Irregular
INV000425,3,39.5,70.0,Irregular
INV000426,2,39.0,39.0,Irregular
INV000427,7,68.5,116.0,High Risk / Stopped
INV000428,8,52.142857142857146,164.0,Irregular
INV000429,6,77.2,187.0,High Risk / Stopped
INV000430,4,148.66666666666666,264.0,High Risk / Stopped
INV000431,5,86.25,168.0,High Risk / Stopped
INV000432,3,216.0,306.0,High Risk / Stopped
INV000433,5,66.5,166.0,High Risk / Stopped
INV000434,1,,,Irregular
INV000435,1,,,Irregular
INV000436,5,73.0,170.0,High Risk / Stopped
INV000437,6,97.8,295.0,High Risk / Stopped
INV000438,2,184.0,184.0,High Risk / Stopped
INV000439,5,24.25,59.0,Irregular
INV000440,8,69.57142857142857,162.0,High Risk / Stopped
INV000441,6,60.8,151.0,High Risk / Stopped
INV000442,3,217.5,375.0,High Risk / Stopped
INV000443,2,373.0,373.0,High Risk / Stopped
INV000444,6,73.2,129.0,High Risk / Stopped
INV000445,9,57.75,129.0,Irregular
INV000446,6,38.6,101.0,Irregular
INV000449,6,46.8,70.0,Irregular
INV000450,1,,,Irregular
INV000452,9,49.375,123.0,Irregular
INV000453,4,98.0,243.0,High Risk / Stopped
INV000454,3,232.5,420.0,High Risk / Stopped
INV000455,2,75.0,75.0,High Risk / Stopped
INV000456,5,45.25,75.0,Irregular
INV000457,6,91.4,256.0,High Risk / Stopped
INV000458,5,81.75,187.0,High Risk / Stopped
INV000459,4,82.0,195.0,High Risk / Stopped
INV000460,6,43.4,107.0,Irregular
INV000461,3,67.5,90.0,High Risk / Stopped
INV000462,2,79.0,79.0,High Risk / Stopped
INV000463,7,65.16666666666667,181.0,High Risk / Stopped
INV000465,4,102.66666666666667,236.0,High Risk / Stopped
INV000466,7,73.33333333333333,135.0,High Risk / Stopped
INV000467,10,56.666666666666664,272.0,Irregular
INV000468,1,,,Irregular
INV000469,7,70.5,183.0,High Risk / Stopped
INV000470,2,401.0,401.0,High Risk / Stopped
INV000471,3,121.0,185.0,High Risk / Stopped
INV000472,1,,,Irregular
INV000473,4,105.0,245.0,High Risk / Stopped
INV000474,5,103.5,203.0,High Risk / Stopped
INV000475,2,90.0,90.0,High Risk / Stopped
INV000476,3,10.0,18.0,Irregular
INV000477,1,,,Irregular
INV000478,2,61.0,61.0,High Risk / Stopped
INV000479,2,99.0,99.0,High Risk / Stopped
INV000480,5,105.0,189.0,High Risk / Stopped
INV000481,4,156.33333333333334,286.0,High Risk / Stopped
INV000482,3,133.5,202.0,High Risk / Stopped
INV000483,8,70.42857142857143,252.0,High Risk / Stopped
INV000484,1,,,Irregular
INV000485,4,138.66666666666666,270.0,High Risk / Stopped
INV000487,5,88.25,215.0,High Risk / Stopped
INV000488,4,102.33333333333333,222.0,High Risk / Stopped
INV000489,4,66.0,76.0,High Risk / Stopped
INV000490,2,231.0,231.0,High Risk / Stopped
INV000491,6,95.0,202.0,High Risk / Stopped
INV000492,4,145.33333333333334,286.0,High Risk / Stopped
INV000493,10,47.55555555555556,201.0,Irregular
INV000494,4,74.0,162.0,High Risk / Stopped
INV000495,5,24.75,64.0,Irregular
INV000496,5,81.25,175.0,High Risk / Stopped
INV000497,7,71.83333333333333,191.0,High Risk / Stopped
INV000498,1,,,Irregular
INV000499,7,77.83333333333333,157.0,High Risk / Stopped
INV000500,3,133.0,193.0,High Risk / Stopped
INV000501,3,100.5,129.0,High Risk / Stopped
INV000502,1,,,Irregular
INV000503,1,,,Irregular
INV000504,1,,,Irregular
INV000505,4,93.33333333333333,120.0,High Risk / Stopped
INV000506,3,71.5,80.0,High Risk / Stopped
INV000507,7,70.16666666666667,249.0,High Risk / Stopped
INV000509,3,61.0,107.0,High Risk / Stopped
INV000510,2,190.0,190.0,High Risk / Stopped
INV000511,4,132.66666666666666,206.0,High Risk / Stopped
INV000512,9,54.75,112.0,Irregular
INV000513,2,103.0,103.0,High Risk / Stopped
INV000514,4,100.66666666666667,158.0,High Risk / Stopped
INV000516,1,,,Irregular
INV000517,3,20.0,39.0,Irregular
INV000518,1,,,Irregular
INV000519,3,108.0,208.0,High Risk / Stopped
INV000520,3,64.5,89.0,High Risk / Stopped
INV000521,3,70.0,73.0,High Risk / Stopped
INV000522,6,100.8,309.0,High Risk / Stopped
INV000523,5,92.25,206.0,High Risk / Stopped
INV000524,7,55.0,91.0,Irregular
INV000525,5,68.75,126.0,High Risk / Stopped
INV000526,3,47.5,58.0,Irregular
INV000527,6,50.8,116.0,Irregular
INV000528,1,,,Irregular
INV000529,6,59.2,110.0,Irregular
INV000530,3,104.0,142.0,High Risk / Stopped
INV000531,7,47.0,82.0,Irregular
INV000532,5,73.0,102.0,High Risk / Stopped
INV000533,4,148.0,225.0,High Risk / Stopped
INV000534,1,,,Irregular
INV000535,4,154.0,349.0,High Risk / Stopped
INV000536,2,25.0,25.0,Irregular
INV000537,2,200.0,200.0,High Risk / Stopped
INV000538,3,39.5,60.0,Irregular
INV000539,7,77.0,153.0,High Risk / Stopped
INV000540,7,73.5,123.0,High Risk / Stopped
INV000541,2,56.0,56.0,Irregular
INV000542,4,164.33333333333334,336.0,High Risk / Stopped
INV000543,7,83.66666666666667,218.0,High Risk / Stopped
INV000544,4,99.33333333333333,159.0,High Risk / Stopped
INV000545,6,80.6,181.0,High Risk / Stopped
INV000546,9,55.0,154.0,Irregular
INV000547,6,55.8,140.0,Irregular
INV000548,4,133.66666666666666,245.0,High Risk / Stopped
INV000549,6,96.2,146.0,High Risk / Stopped
INV000550,4,149.0,410.0,High Risk / Stopped
INV000551,3,160.0,192.0,High Risk / Stopped
INV000552,5,116.0,191.0,High Risk / Stopped
INV000553,6,72.0,172.0,High Risk / Stopped
INV000554,6,70.2,171.0,High Risk / Stopped
INV000555,2,58.0,58.0,Irregular
INV000556,8,52.42857142857143,156.0,Irregular
INV000557,5,102.5,294.0,High Risk / Stopped
INV000558,4,74.66666666666667,113.0,High Risk / Stopped
INV000559,3,50.0,72.0,Irregular
INV000560,3,62.0,70.0,High Risk / Stopped
INV000561,1,,,Irregular
INV000562,6,74.4,197.0,High Risk / Stopped
INV000563,7,76.33333333333333,198.0,High Risk / Stopped
INV000564,2,162.0,162.0,High Risk / Stopped
INV000565,2,181.0,181.0,High Risk / Stopped
INV000566,7,35.0,119.0,Consistent
INV000567,6,63.8,166.0,High Risk / Stopped
INV000568,6,62.4,180.0,High Risk / Stopped
INV000569,5,77.75,285.0,High Risk / Stopped
INV000570,8,67.28571428571429,186.0,High Risk / Stopped
INV000571,1,,,Irregular
INV000572,3,224.0,261.0,High Risk / Stopped
INV000573,7,50.833333333333336,154.0,Irregular
INV000574,2,6.0,6.0,Irregular
INV000575,6,71.6,155.0,High Risk / Stopped
INV000576,5,76.0,190.0,High Risk / Stopped
INV000577,5,32.25,81.0,Irregular
INV000578,7,66.83333333333333,164.0,High Risk / Stopped
INV000579,1,,,Irregular
INV000580,5,55.75,158.0,Irregular
INV000581,7,78.33333333333333,160.0,High Risk / Stopped
INV000583,3,32.5,55.0,Irregular
INV000584,5,111.75,191.0,High Risk / Stopped
INV000585,5,74.0,121.0,High Risk / Stopped
INV000586,7,44.5,111.0,Irregular
INV000587,5,49.5,112.0,Irregular
INV000588,1,,,Irregular
INV000589,9,59.125,90.0,Irregular
INV000590,3,114.0,182.0,High Risk / Stopped
INV000591,7,64.5,112.0,High Risk / Stopped
INV000592,4,109.66666666666667,268.0,High Risk / Stopped
INV000593,6,74.2,179.0,High Risk / Stopped
INV000594,1,,,Irregular
INV000595,5,104.25,174.0,High Risk / Stopped
INV000596,9,51.75,140.0,Irregular
INV000597,6,88.6,198.0,High Risk / Stopped
INV000598,4,124.33333333333333,188.0,High Risk / Stopped
INV000599,7,81.5,171.0,High Risk / Stopped
INV000600,4,148.0,156.0,High Risk / Stopped
INV000601,5,73.5,119.0,High Risk / Stopped
INV000602,5,103.0,229.0,High Risk / Stopped
INV000603,4,132.66666666666666,236.0,High Risk / Stopped
INV000604,4,127.66666666666667,194.0,High Risk / Stopped
INV000605,1,,,Irregular
INV000606,4,98.66666666666667,215.0,High Risk / Stopped
INV000607,7,66.66666666666667,209.0,High Risk / Stopped
INV000608,6,100.2,324.0,High Risk / Stopped
INV000609,6,47.0,87.0,Irregular
INV000611,5,86.5,121.0,High Risk / Stopped
INV000612,11,49.3,169.0,Irregular
INV000613,2,236.0,236.0,High Risk / Stopped
INV000614,2,3.0,3.0,Irregular
INV000615,7,55.833333333333336,139.0,Irregular
INV000616,5,123.0,230.0,High Risk / Stopped
INV000617,1,,,Irregular
INV000618,2,7.0,7.0,Irregular
INV000619,5,45.0,73.0,Irregular
INV000620,1,,,Irregular
INV000621,2,350.0,350.0,High Risk / Stopped
INV000622,5,89.5,293.0,High Risk / Stopped
INV000623,4,122.66666666666667,238.0,High Risk / Stopped
INV000624,7,31.666666666666668,53.0,Consistent
INV000625,6,86.4,134.0,High Risk / Stopped
INV000626,3,116.5,187.0,High Risk / Stopped
INV000627,1,,,Irregular
INV000628,2,304.0,304.0,High Risk / Stopped
INV000629,4,113.33333333333333,276.0,High Risk / Stopped
